created_at,order_number,item_type,item_id,item_name,base_price,final_price,quantity,validated_quantity,validated_return_quantity,final_quantity,subtotal_price,warranty,status,sku,erp_product_id,service_type,service_location_name,price_finalized_by_name,vehicle_license_plate,odometer
"Sep 18, 2025, 09:17",WO-143705369393238972,SPAREPART,87eede8f-1064-4c4e-912d-9319aa96d5b0,Brake Pad H3 FR / RR H3,"26,000",0,1,0,0,1,0,NOT_COVERED,APPLIED,GEN-F0130-001-N-NE,"1,075",REGULAR,Kembangan,Irawan,B 3621 PWE,"25,963"
"Sep 18, 2025, 09:15",WO-143706359735524061,SPAREPART,0e63dd11-3dfb-40f2-9820-7fc9cc0b12bc,Front fork bearings H3,"42,021",0,1,0,0,1,0,NEW_ONBOARDING,APPLIED,GEN-F0100-001-F-NE,849,REGULAR,Pondok Indah,Faris Abdurrahan,B 4381 SWA,"18,092"
"Sep 18, 2025, 09:15",WO-143706359735524061,SPAREPART,87eede8f-1064-4c4e-912d-9319aa96d5b0,Brake Pad H3 FR / RR H3,"26,000",0,2,0,0,2,0,NEW_ONBOARDING,APPLIED,GEN-F0130-001-N-NE,"1,075",REGULAR,Pondok Indah,Faris Abdurrahan,B 4381 SWA,"18,092"
"Sep 18, 2025, 09:13",WO-143703044524086204,SPAREPART,c52ca52a-85ef-43ad-8637-a9a65142da16,Rear disc brake disc H3,"26,519","80,000",1,0,0,1,"80,000",NOT_COVERED,APPLIED,GEN-F0190-001-R-NE,854,STORING,Pondok Indah,Eka Pitaloka,B 4077 SWB,"46,788"
"Sep 18, 2025, 09:13",WO-143703044524086204,SPAREPART,87eede8f-1064-4c4e-912d-9319aa96d5b0,Brake Pad H3 FR / RR H3,"26,000",0,1,0,0,1,0,NOT_COVERED,APPLIED,GEN-F0130-001-N-NE,"1,075",STORING,Pondok Indah,Eka Pitaloka,B 4077 SWB,"46,788"
"Sep 18, 2025, 09:13",WO-143705969531032508,SPAREPART,87eede8f-1064-4c4e-912d-9319aa96d5b0,Brake Pad H3 FR / RR H3,"26,000",0,2,0,0,2,0,NEW_ONBOARDING,APPLIED,GEN-F0130-001-N-NE,"1,075",REGULAR,Pondok Indah,Muhammad Riduwan,B 4268 SWA,"19,091"
"Sep 18, 2025, 09:06",WO-143705430462305212,SPAREPART,87eede8f-1064-4c4e-912d-9319aa96d5b0,Brake Pad H3 FR / RR H3,"26,000",0,2,0,0,2,0,NEW_ONBOARDING,APPLIED,GEN-F0130-001-N-NE,"1,075",REGULAR,Pondok Indah,Randy,B 4458 SWA,"15,829"
"Sep 18, 2025, 09:06",WO-143705430462305212,SPAREPART,ec86c430-e74c-451d-8d93-6d47384acc17,Tire 90/90-12 H3 (KENDA) H3,"100,000","100,000",1,0,0,1,"100,000",NOT_COVERED,APPLIED,GEN-F0500-001-N-MA,"1,741",REGULAR,Pondok Indah,Randy,B 4458 SWA,"15,829"
"Sep 18, 2025, 07:45",WO-143694167598439133,SPAREPART,7aa8d3dc-ff34-4db8-a769-0c1f747b124e,Air tape PVR 70 (10 mm) H5,"3,500","24,000",1,0,0,1,"24,000",NOT_COVERED,APPLIED,GEN-F0430-001-N-NE,"1,755",STORING,Pondok Indah,Eka Pitaloka,B 4875 SVT,"45,678"
"Sep 17, 2025, 23:41",WO-143644548747236284,SPAREPART,9ae448db-156e-4e8b-8980-6f520521c921,Speed control handle cable H3,"16,169",0,1,0,0,1,0,NOT_COVERED,APPLIED,H3A-E70090-001-N-BL,857,STORING,Pondok Indah,Service Advisor PI,B 3684 PWE,"30,800"
"Sep 17, 2025, 22:02",WO-143635462777532469,SPAREPART,87eede8f-1064-4c4e-912d-9319aa96d5b0,Brake Pad H3 FR / RR H3,"26,000",0,1,0,0,1,0,NOT_COVERED,APPLIED,GEN-F0130-001-N-NE,"1,075",STORING,Pondok Indah,Service Advisor PI,B 4792 SVT,"24,961"
"Sep 17, 2025, 21:53",WO-143632325001878237,SPAREPART,87eede8f-1064-4c4e-912d-9319aa96d5b0,Brake Pad H3 FR / RR H3,"26,000",0,1,0,0,1,0,NOT_COVERED,APPLIED,GEN-F0130-001-N-NE,"1,075",STORING,Pondok Indah,Service Advisor PI,B 4565 SVV,0
"Sep 17, 2025, 21:33",WO-143635221353339613,SPAREPART,1ac25aee-ff64-497d-a915-e4617a1892ae,Bearing Nachi 6201 H3,"13,967","13,500",2,0,0,2,"27,000",NOT_COVERED,APPLIED,GEN-F0060-001-F-NE,"1,735",STORING,Pondok Indah,Eka Pitaloka,B 4038 SVO,"39,946"
"Sep 17, 2025, 21:33",WO-143635221353339613,SPAREPART,79e0bbc0-0b87-4142-8e3f-0b3ccdc86641,Brake Pad Kit H5 -2-01 (Canvas Rem) H5,"28,500",0,1,0,0,1,0,NOT_COVERED,APPLIED,GEN-F1140-001-R-NE,"1,759",STORING,Pondok Indah,Eka Pitaloka,B 4038 SVO,"39,946"
"Sep 17, 2025, 21:33",WO-143635221353339613,SPAREPART,fa116921-3f09-44e1-b709-86b1780d9253,Brake Pad Kit H5 -1-01 (Canvas Rem) H5,"39,500",0,1,0,0,1,0,NOT_COVERED,APPLIED,GEN-F1130-001-F-NE,"1,758",STORING,Pondok Indah,Eka Pitaloka,B 4038 SVO,"39,946"
"Sep 17, 2025, 21:19",WO-143585448420241461,SPAREPART,00c93cf0-bacc-4e53-aab2-4aeeebf5bf3b,Air tape PVR 50 (5 mm) H3,"3,500",0,1,0,0,1,0,NOT_COVERED,APPLIED,GEN-F0420-002-N-NE,"1,740",STORING,Pondok Indah,Eka Pitaloka,B 4617 SWA,"178,095"
"Sep 17, 2025, 21:07",WO-143585448420241461,SPAREPART,ec86c430-e74c-451d-8d93-6d47384acc17,Tire 90/90-12 H3 (KENDA) H3,"100,000",0,1,0,0,1,0,NEW_ONBOARDING,APPLIED,GEN-F0500-001-N-MA,"1,741",STORING,Pondok Indah,Eka Pitaloka,B 4617 SWA,"178,095"
"Sep 17, 2025, 21:07",WO-143585448420241461,SPAREPART,87eede8f-1064-4c4e-912d-9319aa96d5b0,Brake Pad H3 FR / RR H3,"26,000",0,1,0,0,1,0,NOT_COVERED,APPLIED,GEN-F0130-001-N-NE,"1,075",STORING,Pondok Indah,Eka Pitaloka,B 4617 SWA,"178,095"
"Sep 17, 2025, 21:03",WO-143631951960480477,SPAREPART,87eede8f-1064-4c4e-912d-9319aa96d5b0,Brake Pad H3 FR / RR H3,"26,000",0,1,0,0,1,0,NOT_COVERED,APPLIED,GEN-F0130-001-N-NE,"1,075",STORING,Pondok Indah,Eka Pitaloka,B 4548 SVP,"622,131"
"Sep 17, 2025, 21:03",WO-143631951960480477,SPAREPART,c52ca52a-85ef-43ad-8637-a9a65142da16,Rear disc brake disc H3,"26,519","80,000",1,0,0,1,"80,000",NOT_COVERED,APPLIED,GEN-F0190-001-R-NE,854,STORING,Pondok Indah,Eka Pitaloka,B 4548 SVP,"622,131"
"Sep 17, 2025, 20:29",WO-143625424113561653,SPAREPART,7aa8d3dc-ff34-4db8-a769-0c1f747b124e,Air tape PVR 70 (10 mm) H5,"3,500",0,1,0,0,1,0,NOT_COVERED,APPLIED,GEN-F0430-001-N-NE,"1,755",STORING,Pondok Indah,Naufal Rabbani,B 4691 SVP,"412,305"
"Sep 17, 2025, 20:29",WO-143625424113561653,SPAREPART,87eede8f-1064-4c4e-912d-9319aa96d5b0,Brake Pad H3 FR / RR H3,"26,000",0,1,0,0,1,0,NOT_COVERED,APPLIED,GEN-F0130-001-N-NE,"1,075",STORING,Pondok Indah,Naufal Rabbani,B 4691 SVP,"412,305"
"Sep 17, 2025, 19:18",WO-143622084893874909,SPAREPART,ec86c430-e74c-451d-8d93-6d47384acc17,Tire 90/90-12 H3 (KENDA) H3,"100,000","100,000",1,0,0,1,"100,000",NOT_COVERED,APPLIED,GEN-F0500-001-N-MA,"1,741",STORING,Pondok Indah,Eka Pitaloka,B 4090 SVT,"419,427"
